huc12_id,watershed_type,site_id,dvlpOPN_11,dvlp_22,ag_33,TH_44,frst_55,wtr_66,brn_77,total,Tdvlp,prc_frst,prc_OPN,prc_dvlp,prc_Tdvlp,prc_ag,prc_TH,RelativeTH
1.71003E+11,huc12,"ZERO_UmpConf, MAFA_HappyValley",13733,24923,49766,29707,33828,3205,268,155430,38656,21.7641382,8.835488644,16.034871,24.87035965,32.01827189,19.11278389,0.467569056
1.71003E+11,huc12,"BKY01, BKY02, BKY03, BKY04",5454,2503,18975,49497,50495,811,202,127937,7957,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328,0.495009601
1.71003E+11,huc12,MAFA_CanyonvillePk,3977,1886,23606,26382,62931,425,106,119313,5863,52.74446205,3.33324952,1.580716267,4.913965787,19.78493542,22.11158885,0.295388129
1.71003E+11,huc12,"MAFA_DaysChute, MAFA_GrassyBeach",1124,168,4683,23054,48786,276,86,78177,1292,62.40454354,1.437763025,0.214896965,1.65265999,5.990252888,29.48949179,0.320907572
1.71003E+11,huc12,"TIL02, TIL03, MAFA_ShafferRanch, MAFA_OldBridge",888,256,1699,24574,26622,87,17,54143,1144,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534,0.479998437
1.71003E+11,huc12,"MAFA_SaltCr, MAFA_Tiller3",106,18,600,9755,35721,76,30,46306,124,77.14119121,0.22891202,0.038871852,0.267783873,1.295728415,21.06638449,0.214508752
1.71003E+11,huc12,"ZERO_CowCr, COW01",1945,138,166,15467,34100,2,177,51995,2083,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107,0.312042286
1.71003E+11,huc12,COW02,2780,266,0,37797,38818,1,173,79835,3046,48.62278449,3.482182,0.333187199,3.815369199,0,47.34389679,0.493336814
