site_id,lgth_ft,min_prcntSLPE,max_prcntSLPE,min_SLPE_gradient,max_SLPE_gradient,av_SLPE_gradient,acw1,acw2,acw3,av_acw,PkFld_2yr_ft^3/s,PkFld_5yr_ft^3/s,PkFld_10yr_ft^3/s,PkFld_25yr_ft^3/s,PkFld_100yr_ft^3/s,FlwDur_5perc_ft^3/s,PkFld_2yr_m^3/s,PkFld_5yr_m^3/s,PkFld_10yr_m^3/s,PkFld_25yr_m^3/s,PkFld_100yr_m^3/s,FlwDur_5perc_m^3/s,Tstrpwr_2yr,Sstrpwr_2yr,Tstrpwr_5yr,Sstrpwr_5yr,Tstrpwr_10yr,Sstrpwr_10yr,Tstrpwr_25yr,Sstrpwr_25yr,Tstrpwr_100,Tstrpwr_100,Tstrpwr_5perc,Sstrpwr_5perc
MAFA_Milo,2731.931651,0.288807152,0.300518536,0.002888072,0.003005185,0.002946628,60.86102833,71.94920367,73.983679,68.93130367,19000,30900,39500,50500,67700,4550,538.02015,874.990665,1118.515575,1430.000925,1917.050745,128.8416675,15536.38566,225.389407,25267.06931,366.5543514,32299.32808,468.5727146,32299.32808,468.5727146,55358.59521,803.098045,3720.555513,53.97483168
MAFA_ShafferRanch,2190.509291,0.310886515,0.332341343,0.003108865,0.003323413,0.003216139,67.32082,82.65085,72.60512,74.19226333,18600,30500,39100,49900,67100,4520,526.69341,863.663925,1107.188835,1413.010815,1900.060635,127.992162,16600.40982,223.7485295,27221.10213,366.8994705,34896.56043,470.3530916,34896.56043,470.3530916,59886.42468,807.178835,4034.078086,54.37329857
MAFA_OldBridge,1898.05144,0.4741705,0.51737307,0.004741705,0.005173731,0.004957718,61.10157,80.93956,92.84183,78.29432,17400,28900,37300,48000,65100,4350,492.71319,818.356965,1056.218505,1359.2088,1843.426935,123.1782975,23938.78317,305.7537657,39760.39274,507.832404,51317.04669,655.4376702,51317.04669,655.4376702,89564.06808,1143.940813,5984.695794,76.43844143
MAFA_SaltCr,2022.926795,0.102327331,0.143357832,0.001023273,0.001433578,0.001228426,36.69776,49.6509,59.01805,48.45557,14000,23400,30300,39000,52900,3760,396.4359,662.61429,858.000555,1104.35715,1497.961365,106.471356,4772.522517,98.49275361,7976.930492,164.6236025,10329.1023,213.1664596,10329.1023,213.1664596,18033.31722,372.1619047,1281.76319,26.45233954
MAFA_Tiller3,2146.845319,0.252931776,0.276688029,0.002529318,0.00276688,0.002648099,85.11999,232.27807,157.08782,158.16196,13600,22700,29400,37900,51400,3690,385.10916,642.792495,832.51539,1073.208615,1455.48609,104.4891765,9994.110473,63.18909094,16681.34616,105.4700268,21604.91529,136.5999466,21604.91529,136.5999466,37771.8587,238.8175937,2711.637327,17.14468717
MAFA_BoomerHill,2956.976319,0.111261561,0.118025632,0.001112616,0.001180256,0.001146436,103.0309393,79.98821933,101.7557927,94.92498378,52600,79000,97100,120000,155000,10700,1489.46631,2237.03115,2749.566135,3398.022,4389.11175,302.990295,16734.26192,176.2893313,25133.20706,264.7691478,30891.57475,325.4314462,30891.57475,325.4314462,49311.98853,519.483771,3404.117918,35.86113774
MAFA_CoffeeCr1,2069.312279,0.070552957,0.095199164,0.00070553,0.000951992,0.000828761,58.284635,61.484256,69.3349896,63.03462687,18600,30400,39000,49900,67000,4510,526.69341,860.83224,1104.35715,1413.010815,1897.22895,127.7089935,4277.726941,67.86312784,6991.553711,110.9160799,8969.427458,142.2936551,8969.427458,142.2936551,15409.0164,244.4532024,1037.233791,16.45498422
MAFA_KBarRanch,2803.699105,0.074545339,0.0816792,0.000745453,0.000816792,0.000781123,144.5732487,223.9496977,142.075799,170.1995818,52600,79000,97100,120000,155000,10600,1489.46631,2237.03115,2749.566135,3398.022,4389.11175,300.15861,11401.86819,66.99116457,17124.47885,100.6141065,21047.93539,123.6661992,21047.93539,123.6661992,33598.66103,197.4074241,2297.714883,13.50012062
MAFA_WiegleRd,2629.015473,0.141118302,0.152909674,0.001411183,0.001529097,0.00147014,177.5756,225.92705,160.1308047,187.8778182,52600,79000,97100,120000,155000,10600,1489.46631,2237.03115,2749.566135,3398.022,4389.11175,300.15861,21459.29346,114.2194095,32229.73732,171.5462614,39614.01891,210.8498985,39614.01891,210.8498985,63235.56057,336.5781079,4324.4964,23.01759963
ZERO_CowCr,2836.144028,0.396665328,0.41641034,0.003966653,0.004164103,0.004065378,61.00517,53.14958,93.68628,69.28034333,21300,31600,38500,47300,60500,3110,603.148905,894.81246,1090.198725,1339.387005,1713.169425,88.0654035,24029.87924,346.8498868,35649.96169,514.5754189,43434.28877,626.9352414,43434.28877,626.9352414,68253.88235,985.1839507,3508.588002,50.64334028
ZERO_UmpConf,2473.118743,0.027900076,0.032752087,0.000279001,0.000327521,0.000303261,100.33803,102.29529,164.29222,122.3085133,62600,94400,116000,144000,186000,13600,1772.63481,2673.11064,3284.7546,4077.6264,5266.9341,385.10916,5268.192597,43.07298367,7944.367111,64.95350892,9762.146026,79.81575248,9762.146026,79.81575248,15653.09621,127.9804307,1144.527465,9.357708912
