GRP,Trans_num,Quad_num,Species,S_or_E,L_or_D,Length_cm,,,
A,1,7,mafa,S,L,6.35,,,
A,4,6,mafa,S,D,7.1,,,
A,9,6,mafa,S,D,11.9,,,
A,13,2,mafa,S,D,11.6,,,
B,3,8,mafa,S,L,5.45,,,
B,4,5,mafa,S,L,6.25,,,
B,4,6,mafa,S,D,8.4,,,
B,4,7,mafa,E,D,6.4,,,
B,6,9,mafa,S,D,11.8,,,
C,2,6,mafa,S,D,9.5,,,
C,2,8,mafa,S,L,7,,,
C,3,9,mafa,S,L,2.25,,,
C,4,5,mafa,S,L,4.8,,,
C,7,5,mafa,S,D,6.6,,,
C,7,7,mafa,S,L,6.2,,,
C,7,7,mafa,S,D,8.6,,,
C,7,7,mafa,E,D,10.5,,,
C,8,4,mafa,S,D,9.5,,,
C,9,3,mafa,S,L,8.7,,,
