obs_id,site_id,av_SLPE_gradient,av_acw,PkFld_2yr_m^3/s,PkFld_10yr_m^3/s,PkFld_25yr_m^3/s,FlwDur_5perc_m^3/s,Sstrpwr_2yr,Sstrpwr_10yr,Sstrpwr_25yr,Sstrpwr_5perc,DBprc_frst,DBprc_OPN,DBprc_dvlp,DBprc_Tdvlp,DBprc_ag,DBprc_TH,huc12_id,HUC12prc_frst,HUC12prc_OPN,HUC12prc_dvlp,HUC12prc_Tdvlp,HUC12prc_ag,HUC12prc_TH
MAFA_GrassyBeach,MAFA_GrassyBeach,0.001269185,104.54184,654.119235,1279.92162,1605.565395,138.4693965,77.82476495,152.2804925,152.2804925,16.4745931,77.05318861,0.281807497,0.028197304,0.310004801,0.38394685,22.14845798,171003020506,62.40454354,1.437763025,0.214896965,1.65265999,5.990252888,29.48949179
MAFA_HappyValley1,MAFA_HappyValley,0.001023863,205.298773,1679.189205,3114.8535,3851.0916,351.12894,82.06939142,152.2366451,152.2366451,17.16122181,68.71489019,2.289281711,0.728713613,3.017995323,4.389662823,23.5600282,171003021305,21.7641382,8.835488644,16.034871,24.87035965,32.01827189,19.11278389
MAFA_HappyValley2,MAFA_HappyValley,0.001023863,205.298773,1679.189205,3114.8535,3851.0916,351.12894,82.06939142,152.2366451,152.2366451,17.16122181,68.71489019,2.289281711,0.728713613,3.017995323,4.389662823,23.5600282,171003021305,21.7641382,8.835488644,16.034871,24.87035965,32.01827189,19.11278389
MAFA_KBarRanch,MAFA_KBarRanch,0.000781123,170.1995818,1489.46631,2749.566135,3398.022,300.15861,66.99116457,123.6661992,123.6661992,13.50012062,71.44705809,1.905526522,0.522282424,2.427808946,2.571011047,23.27794116,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
MAFA_OldBridge2,MAFA_OldBridge,0.004957718,78.29432,492.71319,1056.218505,1359.2088,123.1782975,305.7537657,655.4376702,655.4376702,76.43844143,79.1826917,0.209695301,0.011532923,0.221228224,0.078691491,20.426527,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
MAFA_OldBridgeSampleSite,MAFA_OldBridge,0.004957718,78.29432,492.71319,1056.218505,1359.2088,123.1782975,305.7537657,655.4376702,655.4376702,76.43844143,79.1826917,0.209695301,0.011532923,0.221228224,0.078691491,20.426527,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
MAFA_SaltCr,MAFA_SaltCr,0.001228426,48.45557,396.4359,858.000555,1104.35715,106.471356,98.49275361,213.1664596,213.1664596,26.45233954,83.4539078,0.012475876,0.000385058,0.012860934,0.050981667,16.38090236,171003020306,77.14119121,0.22891202,0.038871852,0.267783873,1.295728415,21.06638449
MAFA_ShafferRanch,MAFA_ShafferRanch,0.003216139,74.19226333,526.69341,1107.188835,1413.010815,127.992162,223.7485295,470.3530916,470.3530916,54.37329857,79.41227874,0.21003232,0.012184705,0.222217026,0.077723651,20.1963953,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
MAFA_Tiller3,MAFA_Tiller3,0.002648099,158.16196,385.10916,832.51539,1073.208615,104.4891765,63.18909094,136.5999466,136.5999466,17.14468717,83.54331174,0.012523876,0.000393833,0.012917709,0.041746254,16.30246342,171003020306,77.14119121,0.22891202,0.038871852,0.267783873,1.295728415,21.06638449
MAFA_WiegleRd,MAFA_WiegleRd,0.00147014,187.8778182,1489.46631,2749.566135,3398.022,300.15861,114.2194095,210.8498985,210.8498985,23.01759963,71.35338538,1.920294291,0.522983598,2.443277888,2.631216668,23.29322334,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
ZERO_UmpConf,ZERO_UmpConf,0.000303261,122.3085133,1772.63481,3284.7546,4077.6264,385.10916,43.07298367,79.81575248,79.81575248,9.357708912,65.23187046,2.491439495,1.25825579,3.749695284,6.50569449,24.15902843,171003021305,21.7641382,8.835488644,16.034871,24.87035965,32.01827189,19.11278389
