obs_id,site_id,av_SLPE_gradient,av_acw,PkFld_2yr_m^3/s,PkFld_10yr_m^3/s,PkFld_25yr_m^3/s,FlwDur_5perc_m^3/s,Sstrpwr_2yr,Sstrpwr_10yr,Sstrpwr_25yr,Sstrpwr_5perc,huc12_id,prc_frst,prc_OPN,prc_dvlp,prc_Tdvlp,prc_ag,prc_TH
BKY0101,BKY01,0.001299685,132.9727593,1503.624735,2775.0513,3426.33885,305.82198,144.0260045,265.8107051,265.8107051,29.29342464,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0102,BKY01,0.001299685,132.9727593,1503.624735,2775.0513,3426.33885,305.82198,144.0260045,265.8107051,265.8107051,29.29342464,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0103,BKY01,0.001299685,132.9727593,1503.624735,2775.0513,3426.33885,305.82198,144.0260045,265.8107051,265.8107051,29.29342464,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0201,BKY02,0.00147014,187.8778182,1489.46631,2749.566135,3398.022,300.15861,114.2194095,210.8498985,210.8498985,23.01759963,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0301,BKY03,0.000781123,170.1995818,1489.46631,2749.566135,3398.022,300.15861,66.99116457,123.6661992,123.6661992,13.50012062,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0302,BKY03,0.000781123,170.1995818,1489.46631,2749.566135,3398.022,300.15861,66.99116457,123.6661992,123.6661992,13.50012062,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0303,BKY03,0.000781123,170.1995818,1489.46631,2749.566135,3398.022,300.15861,66.99116457,123.6661992,123.6661992,13.50012062,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0304,BKY03,0.000781123,170.1995818,1489.46631,2749.566135,3398.022,300.15861,66.99116457,123.6661992,123.6661992,13.50012062,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0401,BKY04,0.001146436,94.92498378,1489.46631,2749.566135,3398.022,302.990295,176.2893313,325.4314462,325.4314462,35.86113774,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0402,BKY04,0.001146436,94.92498378,1489.46631,2749.566135,3398.022,302.990295,176.2893313,325.4314462,325.4314462,35.86113774,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0403,BKY04,0.001146436,94.92498378,1489.46631,2749.566135,3398.022,302.990295,176.2893313,325.4314462,325.4314462,35.86113774,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
BKY0404,BKY04,0.001146436,94.92498378,1489.46631,2749.566135,3398.022,302.990295,176.2893313,325.4314462,325.4314462,35.86113774,171003021102,39.46864472,4.263035713,1.956431681,6.219467394,14.83151864,38.68857328
TIL0201,TIL02,0.002443868,91.20221223,538.02015,1118.515575,1430.000925,128.8416675,141.2852994,293.7247015,293.7247015,33.83411118,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
TIL0202,TIL02,0.002443868,91.20221223,538.02015,1118.515575,1430.000925,128.8416675,141.2852994,293.7247015,293.7247015,33.83411118,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
TIL0301,TIL03,0.000828761,63.03462687,526.69341,1104.35715,1413.010815,127.7089935,67.86312784,142.2936551,142.2936551,16.45498422,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
TIL0302,TIL03,0.000828761,63.03462687,526.69341,1104.35715,1413.010815,127.7089935,67.86312784,142.2936551,142.2936551,16.45498422,171003020502,49.16979111,1.640101213,0.472821971,2.112923185,3.137986443,45.38721534
COW0101,COW01,0.000191668,66.09657511,563.505315,1019.4066,1251.60477,82.685202,16.01384496,28.96976977,28.96976977,2.349770215,171003020903,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107
COW0102,COW01,0.000191668,66.09657511,563.505315,1019.4066,1251.60477,82.685202,16.01384496,28.96976977,28.96976977,2.349770215,171003020903,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107
COW0103,COW01,0.000191668,66.09657511,563.505315,1019.4066,1251.60477,82.685202,16.01384496,28.96976977,28.96976977,2.349770215,171003020903,65.58322916,3.740744302,0.265410136,4.006154438,0.319261467,29.74709107
